BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,spinCapacity,spinPrice_USDperMW,spinRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,CapacityObligation
0.00,0.26,45.06,0.00,0.00,0.15,0.00,0.06,1.50,0.08,0.25,4.99,1.25,0.25,3.10,0.71,0.00
0.00,0.26,38.36,0.00,0.00,0.12,0.00,0.06,2.99,0.16,0.25,9.58,2.39,0.25,5.34,1.23,0.00
-0.41,0.25,31.95,-13.06,0.00,0.12,0.00,0.06,1.50,0.08,0.25,17.33,4.33,0.25,4.14,0.95,0.00
0.00,1.00,32.08,0.00,0.00,0.12,0.00,0.43,1.00,0.40,0.25,12.44,3.11,0.25,4.44,1.02,0.00
-0.01,0.99,30.40,-0.41,0.00,0.12,0.00,0.42,1.37,0.54,0.25,10.17,2.54,0.25,2.90,0.67,0.00
-0.01,1.00,37.77,-0.26,0.00,0.12,0.00,0.43,1.50,0.60,0.25,13.07,3.27,0.25,7.09,1.63,0.00
-0.01,1.00,47.00,-0.32,0.00,0.12,0.00,0.43,1.50,0.60,0.25,6.49,1.62,0.25,3.54,0.82,0.00
0.00,1.00,59.08,0.00,0.00,0.15,0.00,0.50,7.44,3.43,0.25,6.04,1.51,0.18,7.44,1.24,0.00
0.00,1.00,69.57,0.00,0.00,0.15,0.00,0.50,12.44,5.73,0.25,2.43,0.61,0.18,12.44,2.07,0.00
0.00,1.00,65.12,0.00,0.00,0.15,0.00,0.50,10.44,4.81,0.25,2.44,0.61,0.18,10.44,1.74,0.00
0.00,1.00,60.36,0.00,0.00,0.15,0.00,0.50,5.13,2.36,0.25,2.46,0.61,0.18,5.13,0.85,0.00
0.00,1.00,58.39,0.00,0.00,0.15,0.00,0.50,6.52,3.00,0.25,2.45,0.61,0.18,6.52,1.08,0.00
0.00,1.00,55.65,0.00,0.00,0.15,0.00,0.43,4.73,1.88,0.25,3.85,0.96,0.25,5.74,1.32,0.00
0.00,0.99,52.74,0.00,0.00,0.15,0.00,0.50,4.00,1.84,0.25,2.88,0.72,0.17,4.21,0.68,0.00
0.00,0.99,51.30,0.00,0.00,0.15,0.00,0.42,2.91,1.14,0.25,5.87,1.47,0.25,4.21,0.97,0.00
-0.02,0.98,43.59,-0.85,0.00,0.15,0.00,0.42,3.00,1.16,0.25,5.99,1.50,0.25,4.90,1.13,0.00
0.00,1.00,41.83,0.00,0.00,0.15,0.00,0.50,3.00,1.38,0.25,5.00,1.25,0.18,3.12,0.52,0.00
0.00,1.00,42.09,0.00,0.00,0.15,0.00,0.50,3.18,1.47,0.25,3.26,0.81,0.18,3.66,0.61,0.00
0.00,1.00,41.76,0.00,0.00,0.15,0.00,0.50,3.00,1.38,0.25,3.10,0.78,0.18,3.01,0.50,0.00
0.00,1.00,41.72,0.00,0.00,0.15,0.00,0.50,3.00,1.38,0.25,3.10,0.78,0.18,3.01,0.50,0.00
0.00,1.00,44.01,0.00,0.00,0.15,0.00,0.50,3.99,1.84,0.25,4.00,1.00,0.18,3.99,0.66,0.00
0.04,1.00,57.75,2.25,0.00,0.15,0.00,0.43,8.00,3.18,0.25,4.77,1.19,0.25,8.00,1.84,0.00
0.37,0.90,59.02,20.03,0.00,0.15,0.00,0.38,5.00,1.76,0.25,4.77,1.19,0.25,9.54,2.20,0.00
0.00,0.16,46.10,0.00,0.00,0.15,0.00,0.01,4.00,0.03,0.25,17.89,4.47,0.25,10.57,2.44,0.00
0.00,0.15,39.36,0.00,0.00,0.12,0.00,0.01,1.00,0.01,0.25,10.64,2.66,0.25,3.99,0.92,0.00
0.00,0.15,36.09,0.00,0.00,0.12,0.00,0.00,4.20,0.02,0.25,15.12,3.78,0.25,9.65,2.22,0.00
0.00,0.14,29.88,0.00,0.00,0.12,0.00,0.00,1.50,0.00,0.25,25.21,6.30,0.25,8.01,1.85,0.00
-0.00,0.14,25.87,-0.05,0.00,0.12,0.00,0.00,1.50,0.00,0.25,23.83,5.96,0.25,8.01,1.85,0.00
-0.47,0.14,23.30,-10.93,0.00,0.12,0.00,0.00,1.00,0.00,0.25,26.15,6.54,0.25,7.50,1.73,0.00
-0.01,1.00,25.68,-0.17,0.00,0.12,0.00,0.43,1.50,0.60,0.25,28.08,7.02,0.25,11.69,2.69,0.00
